Document,entertainer,achievement,mentor,unity,smiley,merit,seeker,esteem,wealth,proficiency,bravery,lovable,dynamo,thinker,special,charm,carefree,charitable,witty,traveler,enthusiastic,ambition,partner,sportsmanship,safe,excited,cleverness,champ,sophistication,smart,friend,romantic,heir,spirited,idealist,volunteer,respectful,hopeful,allure,progress,gentle,legend,dreamer,companion,excellence,affectionate,wellness,admired,healthy,humorous,energetic,attractive,spectacular,talented,unique,satisfied,value,devoted,expert,pleased,hugger,tolerance,learner,buff,easygoing,comfortable,fun,capable,honest,athlete,blissful,happy,graceful,zest,lucky,winner,wise,spontaneity,helper,adventurer,jolly,useful,peaceful,appeal,academic,visionary,optimist,creative,productive,hostess,mercy,enjoyable,commitment,skilled,confident,openness,radiant,asset,healer,vibrant
bravery,0.1,0.16,0.08,0.1,-0.04,0.18,-0.02,0.1,0.13,0.05,1,0.18,0.09,0.03,0.1,0.16,0.08,-0.01,0.11,0.04,0.04,0.16,0.05,0,0.11,0.15,0.25,0.16,0.1,0.08,0.12,0.18,0.13,0.18,0.27,0.32,0.12,0.1,-0.02,0.2,0.18,0.17,0.14,0.15,0.18,0.08,-0.02,0.22,-0.01,0.09,0.01,0.07,0.12,0.16,0.08,0.19,0.01,0.2,0.08,0.15,0.01,-0.02,0.07,0.03,0.11,0.1,0.07,0.07,0.13,0.12,-0.02,0.09,0.12,-0.03,0.14,0.16,0.15,0.02,0.02,0.14,0.1,0.04,0.25,0.12,0.11,0.05,0.02,0.1,-0.03,0.16,0.16,0.05,0.01,0.08,0.06,0,0.04,0,0.11,0.04
lovable,0.11,0.18,0.22,0.1,0.24,0.09,0.02,0.28,0.07,0.12,0.18,1,-0.01,0.09,0.08,0.34,0.06,0.14,0.27,0.2,0.05,0.24,0.16,0.06,0.03,0.28,0.15,0.07,-0.03,0.12,0.23,0.4,0.22,0.17,0.1,0.05,0.3,0.21,0.19,0.12,0.3,0.12,0.05,0.35,0.1,0.29,-0.06,0.25,0.01,0.22,0.07,0.16,0.12,0.29,0.11,0.23,0.01,0.28,0.17,0.31,0.02,0.05,-0.01,0.04,0.09,0.2,0.11,0.14,0.28,0.19,0.09,0.31,0.28,0.13,0.08,0.09,0.07,0,0.13,0.01,0.18,0.09,0.06,0.11,0.1,0.13,0.11,0.09,0.01,0.19,0.19,0.07,0.19,0.03,0.12,0.17,0.05,0,0.05,0.15
dynamo,0.08,0.01,-0.02,0.04,-0.05,0.06,0.01,-0.02,0.02,0,0.09,-0.01,1,0,-0.01,0.02,0.04,-0.02,-0.03,-0.02,0.01,-0.04,-0.01,0.02,0,0.01,0.11,0.02,0.03,-0.04,-0.02,-0.04,-0.01,0.1,0.03,0.08,0.04,0,0,0.04,0,0,0,0.02,0.05,-0.02,-0.02,0.01,0,0.04,-0.02,0.03,0.16,0.02,0,0.04,0,0.03,0.01,-0.01,-0.02,-0.04,-0.01,-0.03,0,0,-0.01,0,0.03,0.07,-0.01,0.01,0.02,-0.02,0.03,0.04,0.02,0.01,-0.06,-0.02,-0.03,0.04,0.01,0.02,0.03,0.02,-0.03,0.02,-0.03,0.04,0.02,-0.03,0.01,-0.01,-0.01,-0.02,0.02,0.03,0.06,0.02
thinker,0.01,0.18,0.08,0.08,0.04,0.28,0.09,0.04,0.17,0.13,0.03,0.09,0,1,0.13,0.06,0,0.14,0.18,-0.07,0.01,0.16,0.01,0.08,0.09,0.11,0.12,0.08,0.07,0.07,0.04,0.1,0.17,0.03,0.07,0.02,0.12,0.09,0.13,0.15,0.12,0.07,0.16,0.09,0.19,0.1,-0.01,0.12,-0.01,0.18,0.16,0.05,0.01,0.09,0.06,0.19,0.05,0.23,0.23,0.1,0.03,0,0.06,-0.05,0.05,0.02,0.07,0.15,0.24,0.08,0.11,0.1,0.03,0.04,0.13,0.13,0.17,0,-0.04,0.06,0.06,0.16,0.11,0.08,0.14,0.17,0.1,0.15,0.08,0.08,0.13,0.08,0.17,0.05,0.15,0.04,0.16,0.02,0.07,0.19
special,0.05,0.1,0.15,0.04,-0.01,0.09,0.09,0.13,0.09,0.13,0.1,0.08,-0.01,0.13,1,0.17,-0.01,0.07,0.04,0.09,0.01,0.12,0.09,0.02,0.3,0.27,0.08,0.04,0.12,0.16,0.22,0.03,0.05,0.07,0.01,0.26,0.11,0.07,0.11,0.19,0.11,0.2,0.01,0.09,0.16,0.04,0.03,0.14,0.19,0.13,0.09,0.27,0.2,0.16,0.31,0.12,0.12,0.19,0.31,0.21,0.02,0.02,0.18,0.18,0.03,0.2,0.24,0.24,0.07,0.18,0.06,0.23,0.16,-0.01,0.16,0.12,0.11,0,0.15,0.04,0.06,0.33,0.14,0.07,0.17,0.05,0.01,0.19,0.08,0.21,0.05,0.25,0.11,0.22,0.16,0.07,0.09,0.04,-0.02,0.11
charm,0.07,0.17,0.11,0.05,0.23,0.19,0.08,0.22,0.15,0.21,0.16,0.34,0.02,0.06,0.17,1,0.2,0.25,0.25,0.1,0.08,0.35,0.24,0.05,0.14,0.24,0.15,0.11,0.08,0.12,0.28,0.34,0.33,0.24,0.05,0.11,0.38,0.11,0.14,0.2,0.43,0.05,0.11,0.4,0.19,0.3,0.02,0.38,0.08,0.15,0.24,0.19,0.16,0.14,0.11,0.3,0.07,0.36,0.23,0.4,0,0.06,0.01,0.15,0.3,0.3,0.15,0.21,0.29,0.03,0.16,0.31,0.37,0.24,0.23,0.08,0.23,0.04,0.1,0.05,0.32,0.1,0.14,0.06,0.16,0.18,0,0.14,0,0.19,0.3,0.1,0.14,0.02,0.21,0.12,0.07,0.04,0.09,0.31
carefree,0.02,0.05,-0.08,0.01,-0.01,0.14,0.11,-0.04,0.08,-0.04,0.08,0.06,0.04,0,-0.01,0.2,1,0.09,0.09,0.11,-0.01,0.13,0.1,0.15,0.06,0.19,0.1,0.18,0.03,0.1,0.21,0.21,0.16,0.15,0.11,0.05,0.08,0.06,-0.03,0.05,0.17,0.09,0.04,0.07,0.03,0.07,-0.01,0.21,-0.02,0.09,0.14,-0.01,0.05,0.13,0.04,0.18,0.02,0.14,0.12,0.23,-0.02,0.05,0,0.06,0.25,0.14,0.14,0.1,0.21,0.01,-0.02,0.15,0.13,0.07,0.08,0.11,0.15,0.03,0.06,0.06,0.21,0.06,0.23,-0.01,0.04,0.09,0.01,0.14,0.05,0.02,0.09,0.13,0.09,0.09,0.13,-0.02,0.03,-0.01,0.09,0.05
charitable,0.03,0.05,0.02,0.05,0.19,0.13,0.05,0.14,0.12,0.17,-0.01,0.14,-0.02,0.14,0.07,0.25,0.09,1,0.12,0.03,0.08,0.07,0.18,0.12,0.04,0.08,0.1,0.11,0.02,0.16,0.1,0.12,0.11,0.21,0.13,0.1,0.16,0.25,0.13,0.17,0.15,0.04,-0.02,0.19,0.12,0.14,0.03,0.19,0.02,0.05,0.09,0.18,0.04,0.09,0.12,0.19,0.07,0.32,0.2,0.17,0.01,-0.02,0.03,0.1,0.14,0.19,0.03,0.14,0.16,0.03,0.17,0.09,0.07,0.11,0.14,0.06,0.13,0.05,0.04,0.03,0.1,0.09,0.11,0.04,0.13,0.05,0.11,0.06,0,0.11,0.21,0.1,0.11,0.06,0.05,0.07,0.05,-0.02,0.05,0.18
witty,0.05,0.27,0.06,0.02,0.11,0.14,0.01,0.15,0.05,0.1,0.11,0.27,-0.03,0.18,0.04,0.25,0.09,0.12,1,0.07,0.07,0.18,0.03,0.05,0.05,0.14,0.22,-0.03,0.12,0.17,0.12,0.4,0.24,0.17,0.2,0.05,0.15,0.07,0,0.15,0.13,0.06,0.03,0.17,0.27,0.16,0,0.3,0.04,0.31,0.15,0.16,0.03,0.16,0.08,0.3,0.02,0.29,0.23,0.23,0.07,0.01,0.02,0.06,0.2,0.14,0.07,0.13,0.24,0.07,0.16,0.13,0.18,0.08,0.08,0.21,0.18,0.01,0.08,0.13,0.16,0.08,0.13,0.17,0.28,0.09,0.03,0.11,0.04,0.17,0.09,0.04,0.18,0.05,0.13,0.22,0.03,0.05,0.07,0.03
traveler,0.05,0.09,0.07,-0.03,0.08,0.06,0,0.13,0.14,0,0.04,0.2,-0.02,-0.07,0.09,0.1,0.11,0.03,0.07,1,0,0.2,0.04,0.05,0.13,0.19,0.11,-0.1,-0.07,0.04,0.2,0.2,0.02,0.16,-0.04,0.07,0.15,0.15,0.05,0.12,0.13,0.13,0.11,0.25,0.05,0.13,-0.01,0.16,0.06,0.11,0.08,0.09,0.11,0.03,0.13,0.2,0.03,0.06,0.16,0.24,0.08,0.1,0.01,0.1,0.15,0.19,0.05,0.12,0.1,0,0.12,0.13,0.15,0.1,0.18,-0.06,0.12,-0.05,0.08,0.1,0.09,0.08,0.12,0,-0.05,0.04,0.15,0.02,0.03,0.1,0.06,0.1,0.01,0.08,0.04,0.08,0.08,0.02,0.05,0.05
enthusiastic,0.05,0.03,0.11,0.04,0.02,0.07,0.11,0.06,0.05,0.02,0.04,0.05,0.01,0.01,0.01,0.08,-0.01,0.08,0.07,0,1,0.06,0.05,0.15,-0.01,0.06,0.04,0.08,0.1,0.04,0.07,0.07,0,0.05,0,0.09,0.07,0.04,0.02,0.08,0.06,0.01,0.02,0.1,0.12,0.05,0,0.04,-0.01,0.05,0.05,0.12,0.08,0.09,0.05,0.12,0.04,0.07,0.14,0.09,-0.01,-0.02,0.06,0.06,-0.02,0.1,0.02,0.03,0.13,0.05,0,0.03,0.1,0.14,0.05,0.05,0.06,0.07,0.05,0.09,0.02,0.07,0.1,0.74,0.14,0.01,0.08,0.06,-0.02,0.02,0.02,0.09,0.04,0.02,0.1,0.11,0.02,0,0.04,0.06
ambition,0.07,0.36,0.23,0.08,0.09,0.13,0.09,0.3,0.19,0.24,0.16,0.24,-0.04,0.16,0.12,0.35,0.13,0.07,0.18,0.2,0.06,1,0.19,0.05,0.1,0.21,0.12,0.16,-0.09,0.18,0.22,0.39,0.25,0.15,0.1,0.19,0.18,0.17,0.06,0.23,0.28,0.2,0.13,0.35,0.25,0.21,0.01,0.3,0.06,0.22,0.25,0.17,0.18,0.4,0.22,0.37,0.02,0.36,0.31,0.24,0.01,0.16,0.11,0.11,0.1,0.26,0.11,0.23,0.34,0.25,0.19,0.17,0.15,0.11,0.21,0.13,0.25,0,0.18,0.13,0.14,0.07,0.11,0.09,0.39,0.23,0.01,0.23,0.13,0.07,0.19,0.2,0.27,0.11,0.27,0.2,0.09,-0.01,-0.01,0.17
partner,0.04,0.11,0.22,0.09,0.04,0.03,0.1,0.17,0.15,0,0.05,0.16,-0.01,0.01,0.09,0.24,0.1,0.18,0.03,0.04,0.05,0.19,1,0.13,0.08,0.1,0.1,0.05,-0.1,0.08,0.21,0.11,0.09,0.1,0,0.06,0.1,0.08,0.12,0.11,0.17,0.05,0.1,0.16,0.03,0.15,-0.02,0.17,0.03,0.12,0.19,0.13,0.02,0.12,0.12,0.16,0.18,0.07,0.19,0.17,-0.03,0.08,-0.03,0.16,0.14,0.12,0.11,0.05,0.21,0.03,-0.05,0.09,0.08,0.1,0.15,0.07,0.1,0.07,0.1,0.08,0.13,0.08,0.08,0.1,0.08,0.06,-0.05,0.27,0.07,0.02,0.1,0.16,0.08,0.01,0.09,0.13,0,0.21,-0.04,0.08
sportsmanship,-0.01,0.03,-0.03,0.1,0.06,0.09,0.09,-0.09,-0.05,0.15,0,0.06,0.02,0.08,0.02,0.05,0.15,0.12,0.05,0.05,0.15,0.05,0.13,1,-0.06,0.12,-0.02,0.1,0.02,0.07,0.07,0.1,0.02,0.06,0.11,0.19,0.17,-0.01,0,0,0.07,-0.03,-0.05,0.02,0.04,0.12,-0.04,0.14,-0.03,0.04,0.1,0.08,0.04,0.09,-0.02,0.08,0.03,0.08,0.12,0.12,-0.02,0,0,0.08,0.1,0.06,0.04,0.08,0.2,0.09,0,0.03,0.03,0.01,0.06,0.07,0.08,-0.06,0.08,-0.03,0.12,0.07,0.07,0.14,0.01,0.06,0,-0.03,-0.05,0.02,-0.02,0.16,0.04,0.01,0.16,-0.04,0.02,-0.01,-0.04,-0.07
safe,-0.01,0.01,0.09,-0.02,0.08,0.01,0.09,0.04,0.02,0.04,0.11,0.03,0,0.09,0.3,0.14,0.06,0.04,0.05,0.13,-0.01,0.1,0.08,-0.06,1,0.2,0.08,0.01,0.03,0.09,0.2,0.04,0.13,0.12,0.04,0.21,0.1,0.16,0.01,0.15,0.15,0.03,0.07,0.11,0.12,0,0.18,0.06,0.35,0.06,0,0.06,0.11,0.02,0.04,0.2,0.08,0.13,0.13,0.16,0.13,0.05,0.19,0.09,0.06,0.25,0.28,0.1,0.09,0,0.11,0.2,0.05,0.08,0.2,-0.01,0.24,-0.02,0.11,-0.02,0.1,0.13,0.19,0.01,0.06,0.03,0.05,0.07,0.01,0.06,0.16,0.18,0.02,0.06,0.2,0.03,0.03,0.01,0.06,0.05
excited,0.03,0.04,0.09,0.02,0.12,0.07,0.06,0.12,0.07,0.02,0.15,0.28,0.01,0.11,0.27,0.24,0.19,0.08,0.14,0.19,0.06,0.21,0.1,0.12,0.2,1,0.2,0.22,-0.01,0.34,0.35,0.23,0.18,0.23,0,0.19,0.18,0.18,0.02,0.14,0.27,0.07,0.1,0.15,0.05,0.15,0.04,0.27,0.05,0.07,0.07,0.15,0.15,0.2,0.1,0.27,0.06,0.19,0.18,0.43,0.09,0.08,0.09,0.15,0.05,0.27,0.34,0.21,0.17,0.15,0.06,0.44,0.32,0.12,0.32,0.11,0.14,0.07,0.19,0.14,0.25,0.11,0.24,0.06,0.07,0.13,0.11,0.03,-0.02,0.21,0.16,0.19,0.06,0.05,0.24,-0.01,0.2,0.01,0.05,0.13
cleverness,0.08,0.13,0.1,0.03,0.1,0.14,0.04,0.06,0.19,0.13,0.25,0.15,0.11,0.12,0.08,0.15,0.1,0.1,0.22,0.11,0.04,0.12,0.1,-0.02,0.08,0.2,1,-0.05,0.01,0.11,0.1,0.23,0.18,0.12,0.01,0.01,0.16,0.16,-0.05,0.13,0.1,0.23,0.08,0.14,0.25,0.11,0,0.2,-0.04,0.35,0.1,0.11,0.14,0.14,0.12,0.12,0.07,0.13,0.16,0.2,0.06,0.02,0.05,0.06,0.09,0.14,0.05,0.14,0.16,0.11,0.09,0.06,0.18,-0.07,0.24,0.09,0.07,0.04,0.01,0.18,0.19,0,0.07,0.05,0.16,0.03,0.09,0.1,0.07,0.06,0.04,0.08,0.02,0.09,0.03,0.1,0.02,0.04,0.05,0.03
champ,0.03,0.21,-0.02,0.02,0.01,0.07,0.05,-0.02,-0.01,0,0.16,0.07,0.02,0.08,0.04,0.11,0.18,0.11,-0.03,-0.1,0.08,0.16,0.05,0.1,0.01,0.22,-0.05,1,-0.02,0.22,0.19,0.05,0.06,0.07,0.07,0.06,0.12,0.06,0.13,0.02,0.08,0.01,0.02,-0.04,0.02,0.06,-0.03,0.09,0.02,-0.1,-0.03,0.01,0.22,0.2,0.03,0.02,0.03,0.13,0.07,0.08,0.1,0,-0.05,0.13,0.04,0.09,0.24,-0.01,0.17,0.31,0.1,0.2,0.09,-0.04,0.22,0.33,0.04,-0.03,0.14,0.04,0.12,-0.03,0.06,0.13,0.12,0.01,-0.02,-0.03,-0.05,0.07,0.15,0.03,0.09,-0.05,0.17,-0.01,0.07,-0.03,-0.05,0.01
sophistication,0.03,0.06,0.03,0.1,-0.04,-0.02,0.04,-0.04,-0.01,0.04,0.1,-0.03,0.03,0.07,0.12,0.08,0.03,0.02,0.12,-0.07,0.1,-0.09,-0.1,0.02,0.03,-0.01,0.01,-0.02,1,0.03,-0.02,0,-0.02,-0.01,0.07,0.07,0.05,-0.01,-0.1,0.01,0.03,-0.04,0.05,-0.04,0.12,0,0.03,0.07,0.02,0.14,0.02,0.14,0.1,-0.07,0.03,0.08,0.05,0.08,0.02,0.04,0.02,0,0.04,-0.02,-0.03,0.06,0,0.08,0.07,0,0.04,0.05,0,-0.01,-0.04,0.04,0.1,0.11,-0.01,0,0.08,0.09,0.06,0.2,0.04,0.03,-0.04,0.02,0.02,0.13,0.05,0.04,0.11,-0.01,0.14,-0.02,-0.02,-0.04,0.02,0.22
smart,0.03,0.06,0.03,-0.03,0.02,0.08,0.01,0.07,0.03,0.02,0.08,0.12,-0.04,0.07,0.16,0.12,0.1,0.16,0.17,0.04,0.04,0.18,0.08,0.07,0.09,0.34,0.11,0.22,0.03,1,0.29,0.1,0.03,0.04,0.13,0.12,0.04,0.13,-0.06,0.11,0.18,0.06,0.08,0.16,0.09,0.17,-0.03,0.19,0.04,0.03,0.1,0.16,0.03,0.14,0.12,0.19,0,0.14,0.27,0.35,0.1,0.02,0.13,0.07,0.01,0.18,0.32,0.1,0.32,0.09,0.03,0.28,0.16,0.04,0.34,0.19,0.23,0.01,0.2,0.05,0.26,0.1,0.2,0.05,0.15,-0.06,0.13,0.1,0.06,0.11,0.16,0.05,0.06,0.08,0.16,0.01,0.03,-0.01,0.03,-0.05
friend,0.04,0.06,0.25,0.04,0.15,0.11,0.07,0.26,0.06,0.04,0.12,0.23,-0.02,0.04,0.22,0.28,0.21,0.1,0.12,0.2,0.07,0.22,0.21,0.07,0.2,0.35,0.1,0.19,-0.02,0.29,1,0.26,0.12,0.11,-0.02,0.13,0.13,0.23,0.14,0.09,0.26,0.04,0.04,0.38,0.14,0.26,0.03,0.21,0.09,0.22,0.13,0.24,0.08,0.19,0.13,0.28,0.07,0.18,0.2,0.33,0.08,0.06,-0.01,0.14,0.1,0.23,0.35,0.14,0.28,0.08,0.05,0.49,0.15,0.09,0.25,0.1,0.2,0.01,0.25,0.06,0.21,0.09,0.18,0.08,0.08,0.03,0.03,0.14,0.07,0.25,0.3,0.3,0.08,0.04,0.09,0.16,0.03,0.02,0.03,0.02
romantic,0.07,0.3,0.06,0.08,0.29,0.1,-0.02,0.2,0.16,0.15,0.18,0.4,-0.04,0.1,0.03,0.34,0.21,0.12,0.4,0.2,0.07,0.39,0.11,0.1,0.04,0.23,0.23,0.05,0,0.1,0.26,1,0.25,0.21,0.08,0.05,0.22,0.14,0.08,0.21,0.25,0.17,0.11,0.35,0.26,0.26,0.06,0.46,0.06,0.39,0.3,0.23,0.02,0.38,0.24,0.31,0.01,0.4,0.21,0.22,0.08,0.01,0.01,0.16,0.17,0.23,0.12,0.13,0.24,0.1,0.16,0.2,0.34,0.22,0.11,0.03,0.12,0.1,0.14,0.11,0.18,0.05,0.2,0.15,0.28,0.27,0.01,0.15,0.03,0.13,0.11,0.11,0.1,0.02,0.11,0.17,0.07,0.03,-0.05,0.14
