record_id,redcap_survey_identifier,imagability_timestamp,agree,error,creator,helper,jerk,maggot,hugger,phony,extraordinary,zest,kinship,undesirable,humorous,athlete,confidence,fool,terrified,lover,favor,leper,carefree,disgusting,dropout,annoyance,wimp,affectionate,pedigree,irritating,spirited,captive,grief,lowlife,excellent,sweetheart,significance,embarrassed,philanthropist,excited,enchantment,useless,atrocity,insecure,bummer,charitable,companionship,sympathy,unemployment,impostor,scum,unemployed,clingy,fun,regret,graceful,accomplishment,ache,spontaneity,trash,honest,newlywed,excellence,productive,clever,scumbag,lazy,boring,copycat,frown,wacko,genius,unique,alone,consideration,unsuccessful,inadequate,hostess,immoral,unreliable,hate,problem,criticism,hater,longevity,crisis,buff,hopeful,distress,innocence,contamination,incapable,disgust,kisser,repulsive,radiant,prick,woe,asset,destroyer,grumpy,openness,gentle,crybaby,respect,hag,seeker,funny,traveler,disturbance,vibrant,amusement,uninvited,brain,disloyalty,fraud,enthusiastic,deadbeat,compensation,victim,champion,idiocy,hardship,gross,commitment,giggle,hypocrisy,charm,stress,garbage,unwelcome,unworthy,goodwill,degenerate,blessing,friendless,closeness,terrible,satisfied,sham,deterioration,filth,willingness,appeal,overwhelmed,peril,disappointment,failure,enthusiasm,ambition,comfortable,incompetent,romantic,relaxed,awkwardness,wellness,unity,sinner,sloppy,unfaithful,gloom,insulting,admired,sad,valedictorian,awkward,skilled,trustworthy,benevolence,worthless,pollution,wealth,awesome,fondness,selfish,lucky,dependable,sportsmanship,tolerance,quitter,adventure,slimy,saint,heartbroken,embarrassment,vagrant,generous,merit,abandonment,useful,badness,outcast,rapport,value,pizzazz,inconvenience,delighted,unpleasantness,rude,disaster,positive,pleasure,proficiency,slob,progress,safety,healer,academic,reject,thoughtful,easygoing,grateful,unlucky,comforting,prize,energetic,dynamo,pay,disgrace,grievance,dreamer,champ,tense,parasite,headache,comatose,heir,wise,menace,hesitation,sleaze,intellectual,mess,defect,mousy,attractive,friend,enjoyable,joy,toxin,helpful,scoundrel,turnoff,dull,perfect,jolly,sophistication,optimist,warmth,success,cynic,harm,thinker,peaceful,nauseous,shame,bitterness,hypocrite,confident,irresponsible,unforgivable,wannabe,achievement,perseverance,lunatic,coward,delight,healthy,pest,art,pain,witty,capable,dummy,hopeless,loser,annoying,creep,companion,awareness,bravery,favorite,legend,courtesy,stinky,unhealthy,virtue,bastard,contentment,respectful,lovable,nutcase,foe,traitor,mentor,winner,adventurer,burden,happy,devoted,spectacular,compatibility,pity,nourishment,idiot,angst,untrustworthy,mercy,loner,friendly,creative,passion,emptiness,partner,visionary,cleverness,smart,entertainer,smiley,anxiety,charming,precision,allure,mistake,pleased,importance,esteem,liar,talented,insight,expert,volunteer,unbearable,blissful,unwanted,negligent,special,safe,learner,faker,idealist,inferior,upbeat,recognition,vermin,waste,miserable,age,race___1,race___2,race___3,race___4,race___5,ethnicity,maritalstat,edu,yearsedu,occ,degree___1,degree___2,degree___3,degree___4,degree___5,degree___6,degree___7,degree___8,degree___9,degree___10,income,disp_id,imagability_complete
11,,[not completed],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,211,0
12,,1/10/17 13:23,1,1,2,4,2,7,2,2,2,1,2,1,2,4,3,2,3,2,2,1,2,3,1,2,4,3,1,2,1,4,4,2,2,2,1,3,1,2,1,2,1,3,1,2,1,1,2,3,2,3,2,2,3,2,2,3,2,5,3,4,2,2,1,1,2,2,1,6,1,2,1,5,1,1,1,4,2,1,1,1,2,2,1,3,5,2,2,3,4,2,5,4,2,4,2,1,2,3,5,1,2,2,1,3,2,2,4,2,2,5,1,6,2,2,3,4,4,2,3,1,2,3,2,5,3,1,1,6,1,2,2,2,3,4,2,2,1,4,4,5,1,2,2,2,4,2,3,2,2,3,3,4,4,3,2,1,4,2,2,1,2,3,2,4,2,2,3,1,5,3,2,1,4,4,1,4,1,3,2,6,1,3,4,1,2,1,3,2,2,4,1,1,1,2,4,2,4,4,2,2,2,4,4,3,2,1,1,2,2,4,4,2,4,2,1,3,2,3,1,2,5,5,2,3,3,2,2,2,4,2,5,2,1,4,4,3,4,3,2,3,1,3,2,5,4,2,2,3,2,3,2,2,2,5,2,1,3,2,2,4,2,2,3,3,4,3,4,5,2,3,2,6,2,3,2,3,3,1,2,2,4,3,3,3,1,2,3,2,2,3,2,3,3,3,2,2,5,3,2,1,3,3,1,3,2,2,4,2,3,3,2,4,1,2,2,4,6,3,3,4,3,2,4,2,1,3,3,2,3,4,2,4,2,2,1,4,2,3,2,2,4,3,1,5,5,27,0,0,0,0,1,0,1,4,14,N/A,1,0,0,0,0,0,0,0,0,0,3,212,2
13,,1/10/17 13:20,1,1,1,1,3,7,2,2,1,1,3,1,1,4,1,3,2,2,1,3,1,3,1,2,5,1,1,1,1,4,1,4,1,3,1,1,1,1,1,1,3,2,1,2,2,1,1,3,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,3,2,1,1,7,4,4,1,3,1,1,1,7,1,1,3,1,1,3,1,3,7,1,1,2,4,1,1,4,3,7,3,1,1,3,7,1,5,5,1,6,1,2,5,2,7,3,1,7,1,3,3,3,1,4,4,1,1,3,1,4,1,2,1,6,1,1,1,4,3,1,1,1,1,1,4,4,1,1,3,2,3,1,2,2,3,1,4,1,1,1,1,3,1,1,1,1,1,5,7,1,1,1,1,3,7,7,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,3,1,2,1,3,1,1,1,1,6,1,1,3,5,1,1,1,1,1,1,6,1,1,1,1,1,1,4,5,7,6,7,1,1,2,1,5,4,1,1,1,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,5,5,3,5,6,6,5,1,1,4,1,4,1,6,3,1,4,1,1,1,1,1,3,3,1,1,1,5,4,4,4,4,4,1,5,3,1,1,1,3,5,3,1,1,5,4,1,4,1,3,1,1,1,3,4,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,7,3,1,25,0,1,0,0,0,0,1,6,14,Community Manager,1,0,0,0,0,0,0,0,0,0,2,213,2
14,,1/10/17 13:16,1,2,2,3,4,4,5,4,3,2,1,4,5,6,7,6,5,5,4,3,2,2,1,2,3,2,4,3,2,2,2,1,2,3,4,5,5,6,7,6,6,6,5,5,5,4,4,3,4,5,4,5,2,1,3,4,5,7,6,6,6,5,5,6,4,4,3,2,2,4,4,2,1,3,3,3,4,5,5,5,4,4,3,3,2,2,2,1,1,2,2,3,3,2,1,3,4,5,6,6,6,7,7,6,6,5,5,5,4,4,4,3,2,1,2,1,1,2,3,3,5,7,4,3,4,4,5,6,7,6,6,5,5,5,4,4,3,2,4,5,5,4,4,2,3,5,1,3,5,4,4,4,3,2,2,3,4,6,7,5,3,4,2,3,1,2,3,2,1,1,1,2,3,4,4,5,5,4,3,2,3,4,4,4,4,4,5,5,6,6,7,7,7,6,6,6,5,5,4,3,2,3,4,5,5,5,6,7,7,7,6,6,6,7,7,7,6,6,5,4,5,4,3,4,5,6,6,7,7,6,5,5,4,4,3,3,2,3,3,4,4,5,4,3,3,2,2,1,2,2,3,3,4,5,5,6,7,7,6,6,6,5,5,4,4,3,4,5,6,7,7,6,6,5,3,2,1,2,3,4,5,6,7,6,5,3,1,2,3,5,6,4,3,2,1,3,5,4,3,2,3,4,5,6,5,5,4,3,3,4,5,5,3,2,3,4,5,6,4,4,3,4,5,4,5,5,4,3,4,5,5,6,5,4,3,2,1,2,3,4,5,6,5,4,2,25,0,0,1,0,0,0,1,4,3,Self Employed,0,0,0,0,0,0,0,0,0,1,3,214,2
15,,1/10/17 13:23,1,2,1,3,2,7,2,2,1,1,1,1,2,6,1,2,3,3,1,6,2,5,3,2,5,3,1,2,2,5,3,2,2,5,1,3,2,4,1,1,2,2,1,4,2,2,1,1,2,1,3,3,1,4,1,5,1,7,1,7,2,1,1,2,2,1,3,7,2,4,2,7,1,2,1,7,1,1,2,1,1,1,1,4,6,1,3,2,5,1,4,3,5,2,6,1,1,4,4,1,2,3,1,7,1,5,5,3,5,2,2,7,1,1,2,2,3,4,6,1,1,7,2,7,3,4,2,7,1,1,6,3,5,5,2,2,2,2,1,6,2,2,3,2,5,2,5,2,6,2,2,5,5,3,1,2,6,1,3,3,1,7,7,5,3,2,1,1,7,6,3,2,3,3,1,6,1,2,5,7,4,3,2,4,3,1,3,2,2,3,1,1,5,1,5,4,5,7,3,5,3,7,3,5,6,6,2,3,5,4,1,4,6,4,2,7,1,3,2,6,2,7,5,7,1,3,3,1,3,5,7,2,6,7,5,3,4,2,2,4,5,6,6,6,3,2,6,4,3,5,6,4,7,2,3,2,3,2,1,4,3,2,5,4,4,3,7,7,4,3,2,3,1,2,2,4,2,2,1,1,3,2,5,3,1,1,1,2,2,3,2,2,4,5,4,2,4,1,2,1,2,6,4,1,1,2,5,4,3,3,1,4,2,1,5,7,7,3,4,4,3,2,3,2,1,4,2,2,2,4,1,2,1,1,3,7,4,2,1,1,4,2,7,6,3,35,0,0,0,0,1,0,2,4,13,Contractor,0,0,0,0,0,0,0,0,0,1,3,215,2
16,,1/10/17 13:22,1,5,1,4,7,7,6,6,2,1,1,3,4,7,5,6,6,5,2,7,6,5,2,1,6,5,1,4,5,5,7,2,1,2,1,6,2,2,1,1,1,1,1,2,3,2,5,6,3,4,6,7,6,6,1,7,4,6,7,7,1,1,1,3,4,2,6,5,6,7,1,2,2,4,1,7,4,3,6,1,3,7,2,6,7,4,7,5,7,2,4,6,2,5,6,2,4,5,7,6,7,7,6,6,2,4,5,6,5,6,6,1,1,1,4,3,5,6,7,6,2,3,4,6,1,2,5,7,1,1,1,7,5,5,6,2,2,1,7,7,6,5,3,2,1,1,5,2,6,7,6,5,6,7,1,1,4,2,5,4,4,3,7,1,2,4,3,2,7,6,4,5,5,1,5,1,4,5,6,7,7,6,6,7,5,1,1,3,4,5,1,1,1,1,3,2,5,7,1,1,1,7,3,2,2,1,5,2,1,1,1,3,7,5,1,2,6,2,6,7,6,7,7,7,6,4,3,2,4,3,7,6,6,4,7,3,3,6,1,6,1,4,1,1,5,1,3,1,6,1,5,4,6,2,3,1,5,4,1,2,1,3,6,5,6,6,7,7,7,1,3,5,1,6,5,6,6,1,3,4,1,3,6,1,1,6,1,4,5,6,6,6,7,6,7,4,3,1,1,3,2,5,7,3,1,7,1,3,4,5,7,7,6,2,1,5,5,6,6,2,1,5,4,1,3,6,6,1,6,7,4,3,1,4,2,5,6,6,6,1,5,1,6,6,5,36,0,0,0,0,1,0,1,7,14,Education Manager,0,0,0,1,0,0,0,0,0,0,4,216,2
17,,1/10/17 13:33,1,3,1,5,4,7,4,3,1,1,3,4,3,6,2,5,4,3,1,7,3,4,2,1,3,1,2,1,3,4,3,5,1,5,2,3,4,3,1,4,3,1,2,1,4,2,5,4,5,2,6,1,1,4,1,2,1,7,3,7,2,3,1,6,4,3,4,7,6,5,1,4,1,1,1,5,3,4,2,1,1,3,1,4,3,1,2,4,5,2,5,6,3,2,5,1,3,4,5,1,5,7,2,6,1,3,5,4,1,3,1,7,2,3,4,6,5,6,6,4,2,3,1,6,2,3,2,7,3,1,1,6,2,2,1,1,2,4,5,7,1,1,3,2,3,3,2,1,3,5,3,4,7,1,3,5,6,3,4,2,1,6,7,6,4,2,2,3,7,5,1,1,2,1,1,3,1,4,3,6,7,2,3,6,2,1,1,1,1,5,1,2,1,1,3,4,6,6,1,4,3,7,2,3,5,5,3,2,5,1,3,4,6,5,3,5,2,1,5,7,5,7,4,5,3,2,6,1,6,5,7,6,4,6,5,2,2,6,3,5,3,2,1,5,2,5,3,1,4,5,3,2,6,2,2,4,1,3,1,5,1,1,7,6,2,5,4,7,3,2,4,7,2,6,3,5,4,2,4,1,5,2,5,3,1,5,2,6,3,7,5,6,5,3,5,2,5,2,1,1,2,5,6,4,2,1,6,3,2,1,1,5,4,1,1,6,5,2,3,2,1,1,2,1,1,5,3,1,3,7,2,4,1,2,1,5,1,3,2,1,4,1,7,7,3,58,0,0,0,0,1,0,2,3,12,Technical Analyst,0,0,0,0,0,0,0,0,0,1,5,217,2
18,,1/10/17 13:24,1,1,2,5,5,6,5,2,1,2,3,1,2,7,2,3,1,5,1,6,3,2,5,2,6,4,1,1,2,4,1,6,1,5,1,2,5,1,5,1,4,1,1,1,5,1,1,7,6,1,2,1,1,3,1,2,1,7,2,7,1,1,1,6,1,1,6,7,6,7,1,5,1,1,1,7,1,1,1,1,1,6,1,2,7,1,1,4,5,1,1,7,2,5,1,1,3,5,5,1,3,7,1,7,5,1,7,3,6,1,1,7,1,5,3,6,6,7,7,1,1,4,2,1,1,4,1,7,1,1,1,5,1,1,1,1,1,5,5,7,1,1,1,1,1,1,1,1,5,1,3,3,1,1,1,6,7,1,5,1,2,5,7,1,2,1,1,1,7,6,1,1,1,1,1,1,1,5,7,7,6,5,3,7,1,1,1,1,1,3,1,2,5,1,4,1,4,6,1,1,1,7,1,4,7,5,1,2,2,2,1,1,7,4,6,5,1,1,6,7,3,7,2,5,5,3,5,1,7,6,7,5,7,6,7,1,5,7,3,7,1,5,1,2,5,6,2,1,5,1,5,3,5,1,1,5,4,1,1,5,1,1,7,7,2,5,6,7,1,2,2,7,1,7,1,6,6,1,3,1,5,1,6,4,1,5,2,1,2,6,7,7,7,7,7,1,4,1,1,1,1,5,6,1,1,1,5,3,1,1,1,7,2,1,1,7,6,1,2,1,3,2,1,1,1,6,1,1,5,5,1,2,1,1,1,1,5,3,1,2,1,1,6,3,2,29,0,0,0,0,1,0,2,7,16,freelancer,0,0,1,0,0,0,0,0,0,0,4,218,2
19,,1/10/17 13:48,1,5,6,6,5,7,3,5,3,1,6,2,6,7,3,5,5,7,4,2,4,2,4,3,3,5,2,2,5,6,5,3,4,7,5,3,6,4,4,4,6,4,4,6,7,5,4,3,2,5,5,6,3,5,5,6,4,5,5,7,5,4,6,2,2,2,4,7,3,6,5,5,4,4,2,7,3,4,6,6,6,6,4,5,6,6,6,6,4,3,3,6,3,4,5,4,4,5,5,3,6,4,5,5,4,6,6,5,5,5,3,7,3,3,5,3,5,4,6,6,5,3,2,7,4,4,4,7,2,1,6,3,5,1,5,3,4,5,7,6,5,5,4,4,4,3,5,3,4,2,6,6,5,5,4,1,5,2,2,3,4,4,7,5,5,4,5,2,5,6,3,3,3,5,5,7,6,2,7,7,3,4,3,5,5,4,1,6,1,4,4,5,5,2,4,3,3,5,4,4,2,3,7,6,7,7,3,4,5,5,5,6,6,5,7,7,2,2,4,7,5,6,2,1,3,4,3,3,3,6,5,5,7,7,7,5,5,3,5,4,4,6,1,6,6,6,7,6,5,3,7,7,5,2,2,3,5,5,2,3,5,5,4,3,5,6,5,7,5,4,4,7,3,3,2,2,7,5,5,4,7,7,6,6,3,2,6,7,6,3,6,2,6,6,7,5,6,4,3,3,5,5,3,2,4,6,7,6,6,6,2,7,6,6,6,7,7,5,5,3,3,3,4,4,3,6,6,4,7,7,2,5,2,3,5,5,5,3,6,2,5,6,7,5,2,43,1,0,0,0,1,0,2,3,12,Self-Employed,0,0,0,0,0,0,0,0,0,1,2,219,2
20,,1/10/17 13:25,1,1,2,3,3,4,3,1,1,2,2,2,2,5,1,3,2,3,1,3,1,2,3,1,3,2,1,1,1,2,2,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,3,1,1,1,5,1,4,1,1,1,3,2,1,1,5,3,2,1,2,1,1,1,4,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,3,2,2,2,2,1,4,3,1,2,4,1,5,1,2,4,1,2,2,1,5,1,1,2,2,1,3,4,2,1,2,1,4,1,2,2,4,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,2,1,3,1,3,3,2,1,1,1,2,1,3,1,1,3,5,1,1,1,1,1,4,3,1,2,1,1,1,2,1,1,3,4,4,2,1,5,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,3,1,1,4,2,1,2,1,1,1,1,2,2,1,3,1,1,1,4,1,1,1,1,1,3,2,1,2,3,4,1,3,3,5,1,3,1,1,1,1,1,1,3,2,1,1,1,2,1,4,3,2,1,1,2,2,1,1,1,1,1,4,2,1,2,1,5,1,1,1,2,1,1,1,1,2,1,3,1,1,3,2,1,1,1,2,2,1,2,2,1,1,4,3,1,5,2,3,1,1,3,3,1,1,3,2,3,2,2,1,4,2,1,1,4,3,2,2,1,1,1,2,1,1,2,2,1,1,3,1,2,1,1,1,2,3,2,1,1,1,1,3,3,3,55,0,0,0,0,1,0,2,7,16,Retired,0,0,0,1,0,0,0,0,0,0,6,220,2
21,,[not completed],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,221,0
22,,[not completed],1,3,3,5,4,7,4,3,2,3,2,2,3,6,2,2,4,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,222,0
23,,1/10/17 13:30,1,2,4,3,5,7,6,1,2,1,2,1,4,7,1,1,5,7,1,7,1,4,5,2,5,7,7,5,4,1,6,2,3,7,1,7,1,6,1,1,1,1,1,2,4,2,4,4,1,3,7,3,2,6,2,5,1,7,2,7,1,2,1,1,4,3,6,7,4,5,1,7,1,1,1,5,1,1,1,1,1,1,1,4,1,1,2,1,4,1,4,7,1,6,1,1,3,1,7,1,6,4,1,1,1,4,7,2,2,3,1,7,1,1,4,1,7,5,7,1,2,1,1,7,1,2,2,7,2,1,1,1,7,4,6,1,2,1,4,3,1,1,2,1,3,2,2,3,4,1,5,6,3,2,2,1,4,1,2,1,1,7,7,2,2,1,1,1,7,5,1,2,5,1,1,4,1,3,4,6,1,2,2,1,2,1,2,1,1,2,2,1,1,1,4,2,4,7,1,6,1,4,2,2,7,6,1,1,2,1,1,4,6,4,1,7,1,1,2,3,2,7,6,6,4,1,3,4,1,5,7,1,1,6,7,2,4,3,2,1,1,1,1,3,4,1,6,1,1,6,5,2,7,1,6,2,5,1,1,4,5,6,6,6,1,4,7,7,6,1,1,1,1,1,2,3,7,2,1,1,1,1,7,4,1,2,3,1,4,3,1,1,5,7,4,2,7,2,1,1,1,4,1,1,1,1,4,6,5,1,7,7,2,1,2,6,7,7,5,4,1,4,4,1,1,2,6,1,6,6,1,4,2,1,1,1,7,2,1,1,5,2,2,7,5,33,0,0,0,0,1,0,2,7,16,homemaker,0,0,1,0,0,0,0,0,0,1,1,223,2
24,,1/10/17 13:34,1,2,4,4,4,7,2,2,3,6,6,2,3,7,2,3,5,6,2,1,2,6,2,1,6,3,7,2,2,6,4,3,5,7,2,5,2,7,7,1,7,1,1,6,7,2,6,7,4,6,7,7,5,6,3,4,2,7,2,7,3,1,2,7,6,4,6,7,3,7,2,6,1,2,2,7,5,2,2,2,4,4,6,7,7,7,7,7,7,2,7,7,7,7,7,1,5,7,7,4,7,3,4,7,2,5,7,4,7,7,3,7,2,5,7,5,7,6,7,2,5,7,7,7,3,7,6,7,2,2,4,6,7,4,7,6,7,1,7,7,7,7,4,6,2,4,7,4,7,2,7,7,5,7,7,6,7,7,7,2,7,7,1,5,7,7,7,3,7,7,7,7,7,7,5,7,5,4,7,7,7,4,6,1,6,7,3,2,2,7,7,3,7,2,7,7,7,7,7,7,3,7,7,7,7,7,3,4,6,6,2,7,7,7,1,7,4,6,7,7,2,7,7,7,1,4,6,6,6,7,7,7,1,7,7,7,7,7,6,4,6,6,4,7,7,5,7,7,6,7,7,5,6,5,5,7,7,3,3,7,7,7,2,5,7,7,7,7,6,3,6,7,4,6,6,6,7,4,7,6,7,3,6,6,6,7,2,7,7,7,7,7,7,7,7,2,6,4,6,1,2,7,7,1,3,5,7,7,6,7,2,7,6,2,5,7,7,2,7,2,2,4,5,4,6,6,5,1,6,6,5,6,2,3,2,5,6,6,2,3,4,7,7,7,5,31,0,0,0,0,1,0,1,6,15,Tech Support,0,1,0,0,0,0,0,0,0,0,3,224,2
25,,1/10/17 13:32,1,3,4,4,4,7,5,2,1,1,1,1,2,5,1,5,2,4,1,6,1,3,2,1,3,1,1,3,4,5,3,2,1,5,1,2,4,5,1,1,6,1,1,3,3,2,3,3,2,1,5,3,1,6,1,1,1,7,2,5,1,1,2,3,2,1,4,7,5,3,1,2,1,1,1,6,2,1,1,1,2,4,1,1,4,2,1,1,3,1,5,4,3,6,5,2,1,5,5,1,3,3,1,5,3,4,5,3,4,1,1,7,1,4,2,3,1,1,4,1,1,2,1,5,1,1,1,7,1,1,3,4,2,4,5,1,1,1,4,5,1,1,4,2,2,1,3,2,4,2,3,1,1,3,1,2,3,2,5,2,1,2,4,3,2,1,1,1,5,4,1,1,2,1,1,3,2,1,1,6,5,1,2,3,1,1,1,1,2,3,1,2,2,1,1,1,1,2,2,1,1,6,5,4,2,2,1,1,1,1,1,1,3,1,3,4,2,1,2,6,2,6,4,5,3,2,4,1,3,5,5,3,2,4,4,1,1,5,3,2,1,1,1,1,1,1,1,1,1,1,7,5,4,1,1,1,1,1,1,1,1,1,6,3,1,5,4,6,3,1,1,6,1,3,3,4,2,1,3,1,1,3,2,1,1,2,1,1,1,5,4,2,2,2,3,1,3,1,1,1,1,4,4,5,1,2,3,1,1,1,2,3,2,1,1,4,6,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,6,2,1,2,1,1,1,4,1,1,35,0,0,0,0,1,0,1,7,16,IT,0,0,0,1,0,0,0,0,0,0,4,225,2
26,,1/10/17 13:27,1,4,1,4,5,5,1,1,1,1,1,1,5,5,1,5,4,5,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,4,1,2,1,1,1,6,1,5,1,1,1,5,5,5,1,2,5,5,2,5,1,1,1,1,1,1,4,1,1,5,1,1,6,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,4,1,2,1,5,1,1,2,1,1,4,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,5,1,1,1,6,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,5,2,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,6,1,1,36,0,0,0,0,1,0,2,7,16,systems admin,0,0,0,1,0,0,0,0,0,0,5,226,2
27,,1/10/17 13:36,1,1,1,4,7,7,7,7,1,4,4,1,7,7,1,1,4,4,1,1,1,7,1,1,4,7,1,4,7,7,7,7,1,4,1,7,7,7,7,4,7,4,4,4,7,7,7,1,4,7,7,7,1,7,1,7,1,7,1,7,1,4,4,1,7,7,1,7,7,7,1,7,1,1,1,7,1,1,7,1,1,7,1,7,1,1,4,7,7,1,7,7,7,7,1,1,4,1,7,7,7,7,4,1,1,7,7,4,7,7,7,7,4,4,7,7,7,7,7,4,4,7,7,7,1,4,7,7,1,1,4,1,7,7,7,7,4,1,4,7,7,4,4,4,4,1,7,4,7,1,7,7,7,7,7,1,4,7,7,7,7,7,1,7,4,7,1,1,7,7,4,7,7,7,7,7,7,4,7,7,7,7,4,7,1,1,7,7,1,1,7,1,1,1,4,4,7,7,1,4,4,4,4,7,4,4,4,1,1,7,1,7,7,7,1,7,1,1,4,7,7,7,7,7,1,1,1,1,7,7,7,1,1,7,7,4,4,1,7,7,7,7,1,7,1,7,7,7,7,7,4,4,7,7,7,7,7,7,4,4,4,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,4,7,7,1,4,7,4,4,4,4,7,7,7,7,7,4,4,1,1,7,7,1,7,1,1,7,7,4,7,7,4,1,1,1,7,7,7,7,1,1,1,7,1,1,7,7,1,1,1,7,7,1,1,1,7,7,4,4,4,7,7,4,7,7,54,0,0,0,0,1,0,3,4,13,data entry,0,0,0,0,0,0,0,0,0,1,3,227,2
